,Headers,Paragraphs,Firm_Info
0,PENNYMAC ONLINE PRIVACY NOTICE,"pennymac loan services, llc affiliates (collectively, ""pennymac"", ""we,"" ""us,"" ""our"") committed protecting privacy customers visitors (collectively, “you”) using pennymac’s websites, mobile applications, accounts pennymac operates social media sites, online interactions pennymac.",PENNYMAC LOAN SERVICES LLC
1,CONSUMER PRIVACY NOTICE,"collect, use, share information accordance pennymac consumer privacy notice california privacy notice, provides choices regarding sharing information.",PENNYMAC LOAN SERVICES LLC
2,INFORMATION COLLECTED?,"collect personal information provide via applications, forms, surveys, online fields including name, address, account number, social security number, email address, telephone number. collect store non-personal information sites services, ip address, web browser name version, operating system, computer location, date time visit, web pages visited. information collected sites.",PENNYMAC LOAN SERVICES LLC
3,INFORMATION USED?,"information accordance applicable laws, as: providing customer support, processing transactions, responding inquiries; sending information updates regarding sites, products services; delivering marketing communications believe you, including, advertisements offers tailored you; business purposes, including data analysis, audits, developing improving products services, enhancing site, identifying usage trends determining effectiveness promotional campaigns; risk control, fraud detection prevention, compliance laws regulations, accordance legal process law enforcement requirements; purposes specifically disclose time provide collect information; operate, provide, improve, maintain sites services offer tailored content.",PENNYMAC LOAN SERVICES LLC
4,ACCESS INFORMATION?,refer pennymac consumer privacy notice california privacy notice additional details personal information shared affiliates third parties.,PENNYMAC LOAN SERVICES LLC
5,"ACCESS, UPDATE, CORRECT INFORMATION","wish access update personal preferences, please contact outlined contact section. existing pennymac customer, wish access update personal preferences online, register and/or log www.pennymacusa.com. logged in, select account settings, privacy preferences, review update preferences device. comply request reasonable time frame time limits established applicable law.",PENNYMAC LOAN SERVICES LLC
6,COOKIES ONLINE TECHNOLOGIES,"collect non-personal information using cookies pixel tags. cookie piece information website send browser stored computer's hard drive. acts anonymous tag identifies computer, personally. pixel tag, gif web beacon, invisible tag placed pages website computer. access pages, pixel tags generate generic notice visit. usually conjunction cookies, registering particular computer visits particular page. cookies pixel tag simply detect anonymous website visit. set browser warn placement cookie requested, decide accept it. however, features available site function properly cookies disabled.",PENNYMAC LOAN SERVICES LLC
7,GOOGLE ANALYTICS ADOBE ANALYTICS,"tools called “google analytics” “adobe analytics” collect non-personal information sites. tools collect information users visit site, pages visit, so, sites prior coming site. information tools improve site. google analytics adobe analytics collect ip address assigned date visit site, name identifying information. combine information collected tools personally identifiable information. google analytics adobe analytics plant permanent cookie web browser identify unique user time visit site, cookie google adobe. google’s ability share information collected google analytics visits site restricted google analytics terms service google privacy policy. adobe’s ability share information collected adobe analytics visits site restricted adobe analytics terms service adobe privacy policy. prevent google analytics adobe analytics recognizing return visits site disabling cookies browser.",PENNYMAC LOAN SERVICES LLC
8,INFORMATION?,retain information period fulfill purposes outlined online privacy policy unless retention period required permitted law.,PENNYMAC LOAN SERVICES LLC
9,"""DO TRACK"" FEATURES",internet browser offer ‘do track’ feature allowing tell opt tracking purposes. separately respond action response ‘do track’ setting internet browser.,PENNYMAC LOAN SERVICES LLC
10,LINKING SITES,"provide links third party sites, credit bureaus, service providers merchants. follow links sites affiliated controlled pennymac, review privacy security policies terms conditions, sites. pennymac guarantee responsible privacy security sites, including accuracy, completeness, reliability information.",PENNYMAC LOAN SERVICES LLC
11,ADVERTISING,"pennymac information described notice help advertise products services, including prescreened offers credit, variety ways. information tailored ads, you, analyze effectiveness ads, determine products services.",PENNYMAC LOAN SERVICES LLC
