conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
ASM INTERNATIONAL NV,001166,2018Q1,1777.7678,2063.1919,154.757,1908.4351,3559,158.974,NL0000334118,5165294,0
HADERA PAPER LTD,001491,2018Q1,1015.577,2227.885,1190.17,125.28,2621,454.07599,IL0006320183,6026099,0
ATLAS CONS MINING & DEV CORP,001855,2018Q1,10544.016,78550.078,40844.77,3559.533,1000,3861.8369,PHY0434M1265,BD0R0N4,0
BANK LEUMI LE-ISRAEL BM,002018,2018Q1,33934,450567,416617,7111,6020,,IL0006046119,6076425,0
BENGUET CORP,002162,2018Q1,,6492.501,2824.4441,616.86298,1000,336.38501,PHY078321353,BYY3QW6,0
BP PLC,002410,2018Q1,72452,275287,173122,5355,2911,67804,GB0007980591,0798059,0
TELEFONAKTIEBOLAGET LM ERICS,004439,2018Q1,60836,260681,167215,92703,3663,43411,SE0000108656,5959378,0
GLAXOSMITHKLINE PLC,005180,2018Q1,-19301,56159,52569,1343,2834,7222,GB0009252882,0925288,0
ORMINEX LTD,005302,2018Q1,,.052299999,.88700002,265.66501,7373,,AU0000009243,BDD85H3,0
ISRAEL DISCOUNT BANK LTD,006203,2018Q1,16218,228782,212404,676,6020,,IL0006912120,6451271,0
NOVO NORDISK A/S,008020,2018Q1,40203,93558,49320,500,2834,26930,DK0060534915,BHC8X90,0
ORBOTECH LTD,008169,2018Q1,705.95508,1326.967,381.67099,2.4089999,3823,250.55099,,5410228,0
PLDT INC,008544,2018Q1,51921,467655,346365,1093,4812,40507,PHY7072Q1032,BDGN274,0
KONINKLIJKE PHILIPS NV,008546,2018Q1,,,,,3845,3942,NL0000009538,5986622,0
SUNY CELLULAR COMMUNICATION,009501,2018Q1,150.64601,447.854,275.80899,144.334,5065,275.823,IL0010823537,6321664,0
VOLVO AB,011217,2018Q1,80098,444294,327746,114373,3711,89143,SE0000115446,B1QH830,0
SKF AB,011749,2018Q1,15284,86268,53304,31093,3562,20560,SE0000108227,B1Q3J35,0
